Resume,Category
"intern Cybersecurity Analyst with experience in network security, ethical hacking, incident response, penetration testing, SIEM based in Colombo Sri Lanka",Cybersecurity Analyst
"mid-level Software Engineer with experience in software development, APIs, C#, ASP.NET, .NET based in Galle Sri Lanka",Software Engineer
"mid-level Software Engineer with experience in debugging, software development, APIs, C#, testing based in Sri Lanka Sri Lanka",Software Engineer
"junior DevOps Engineer with experience in cloud, CI/CD, Linux, Terraform, automation based in Kandy Sri Lanka",DevOps Engineer
"intern DevOps Engineer with experience in Jenkins, automation, Terraform, AWS, CI/CD based in Galle Sri Lanka",DevOps Engineer
"senior Database Administrator with experience in MySQL, SQL, database design, performance tuning, Oracle based in Sri Lanka Sri Lanka",Database Administrator
"senior Data Scientist with experience in pandas, data analysis, data visualization, machine learning, TensorFlow based in Kandy Sri Lanka",Data Scientist
"junior Web Developer with experience in MySQL, HTML, backend, React, frontend based in Negombo Sri Lanka",Web Developer
"intern Software Engineer with experience in SQL Server, software development, testing, APIs, ASP.NET based in Sri Lanka Sri Lanka",Software Engineer
"junior Mobile Developer with experience in UI/UX, Kotlin, Flutter, Android, Java based in Negombo Sri Lanka",Mobile Developer
"intern Data Scientist with experience in pandas, SQL, TensorFlow, data visualization, statistics based in Kandy Sri Lanka",Data Scientist
"junior Database Administrator with experience in SQL, database design, performance tuning, Oracle, MySQL based in Negombo Sri Lanka",Database Administrator
"mid-level Database Administrator with experience in SQL, recovery, database design, backup, Oracle based in Negombo Sri Lanka",Database Administrator
"mid-level Database Administrator with experience in database design, recovery, Oracle, MySQL, performance tuning based in Galle Sri Lanka",Database Administrator
"mid-level Database Administrator with experience in SQL, recovery, performance tuning, database design, backup based in Sri Lanka Sri Lanka",Database Administrator
"intern DevOps Engineer with experience in AWS, Kubernetes, CI/CD, Linux, automation based in Sri Lanka Sri Lanka",DevOps Engineer
"junior Cybersecurity Analyst with experience in threat analysis, SIEM, incident response, penetration testing, ethical hacking based in Colombo Sri Lanka",Cybersecurity Analyst
"intern DevOps Engineer with experience in AWS, cloud, Linux, Terraform, Kubernetes based in Galle Sri Lanka",DevOps Engineer
"mid-level Mobile Developer with experience in Java, Flutter, React Native, UI/UX, Android based in Colombo Sri Lanka",Mobile Developer
"senior Java Developer with experience in Maven, Java, OOP, Hibernate, SQL based in Kandy Sri Lanka",Java Developer
"junior Web Developer with experience in backend, Node.js, HTML, Laravel, CSS based in Colombo Sri Lanka",Web Developer
"junior DevOps Engineer with experience in Terraform, Jenkins, Linux, Kubernetes, Docker based in Galle Sri Lanka",DevOps Engineer
"junior DevOps Engineer with experience in Kubernetes, Terraform, Linux, automation, CI/CD based in Negombo Sri Lanka",DevOps Engineer
"senior Web Developer with experience in Node.js, backend, CSS, JavaScript, PHP based in Kandy Sri Lanka",Web Developer
"senior Business Analyst with experience in requirements gathering, stakeholder analysis, Scrum, UML, Agile based in Galle Sri Lanka",Business Analyst
"junior Software Engineer with experience in .NET, debugging, C#, testing, ASP.NET based in Negombo Sri Lanka",Software Engineer
"intern Mobile Developer with experience in Java, Android, Flutter, UI/UX, React Native based in Galle Sri Lanka",Mobile Developer
"mid-level DevOps Engineer with experience in CI/CD, AWS, Jenkins, automation, Terraform based in Sri Lanka Sri Lanka",DevOps Engineer
"junior DevOps Engineer with experience in CI/CD, Jenkins, cloud, Docker, Terraform based in Negombo Sri Lanka",DevOps Engineer
"intern Java Developer with experience in microservices, REST API, Maven, OOP, Java based in Kandy Sri Lanka",Java Developer
"junior Business Analyst with experience in requirements gathering, Agile, Scrum, documentation, UML based in Galle Sri Lanka",Business Analyst
"senior Web Developer with experience in CSS, MySQL, Node.js, PHP, Laravel based in Sri Lanka Sri Lanka",Web Developer
"senior Java Developer with experience in Spring Boot, Hibernate, microservices, OOP, REST API based in Negombo Sri Lanka",Java Developer
"mid-level Business Analyst with experience in requirements gathering, Agile, documentation, Scrum, stakeholder analysis based in Colombo Sri Lanka",Business Analyst
"mid-level Software Engineer with experience in ASP.NET, C#, SQL Server, APIs, software development based in Kandy Sri Lanka",Software Engineer
"junior Data Scientist with experience in statistics, data visualization, TensorFlow, machine learning, SQL based in Colombo Sri Lanka",Data Scientist
"intern Database Administrator with experience in recovery, backup, SQL, performance tuning, MySQL based in Negombo Sri Lanka",Database Administrator
"mid-level Mobile Developer with experience in Android, Java, Flutter, mobile apps, Kotlin based in Negombo Sri Lanka",Mobile Developer
"intern Business Analyst with experience in stakeholder analysis, Agile, UML, documentation, requirements gathering based in Negombo Sri Lanka",Business Analyst
"mid-level Database Administrator with experience in recovery, MySQL, database design, Oracle, SQL based in Galle Sri Lanka",Database Administrator
"intern Database Administrator with experience in SQL, performance tuning, recovery, backup, Oracle based in Sri Lanka Sri Lanka",Database Administrator
"senior Business Analyst with experience in Scrum, Agile, stakeholder analysis, UML, requirements gathering based in Galle Sri Lanka",Business Analyst
"mid-level Java Developer with experience in SQL, Hibernate, microservices, REST API, Spring Boot based in Colombo Sri Lanka",Java Developer
"mid-level Database Administrator with experience in SQL, MySQL, backup, recovery, performance tuning based in Colombo Sri Lanka",Database Administrator
"junior Mobile Developer with experience in Android, UI/UX, mobile apps, Flutter, React Native based in Sri Lanka Sri Lanka",Mobile Developer
"senior Mobile Developer with experience in Kotlin, Java, UI/UX, mobile apps, React Native based in Colombo Sri Lanka",Mobile Developer
"intern Data Scientist with experience in statistics, Python, data analysis, machine learning, SQL based in Galle Sri Lanka",Data Scientist
"mid-level Software Engineer with experience in .NET, testing, APIs, software development, SQL Server based in Colombo Sri Lanka",Software Engineer
"senior Software Engineer with experience in software development, SQL Server, APIs, .NET, testing based in Galle Sri Lanka",Software Engineer
"intern DevOps Engineer with experience in Kubernetes, Linux, Docker, automation, Terraform based in Galle Sri Lanka",DevOps Engineer
"mid-level Web Developer with experience in React, CSS, PHP, Node.js, JavaScript based in Galle Sri Lanka",Web Developer
"intern Cybersecurity Analyst with experience in incident response, network security, threat analysis, SIEM, penetration testing based in Galle Sri Lanka",Cybersecurity Analyst
"senior DevOps Engineer with experience in AWS, Kubernetes, Terraform, Linux, Jenkins based in Galle Sri Lanka",DevOps Engineer
"mid-level DevOps Engineer with experience in automation, Jenkins, AWS, CI/CD, cloud based in Galle Sri Lanka",DevOps Engineer
"junior Mobile Developer with experience in Java, UI/UX, mobile apps, React Native, Flutter based in Sri Lanka Sri Lanka",Mobile Developer
"mid-level Data Scientist with experience in Python, data visualization, machine learning, pandas, SQL based in Galle Sri Lanka",Data Scientist
"intern Web Developer with experience in JavaScript, Node.js, React, Laravel, backend based in Kandy Sri Lanka",Web Developer
"junior DevOps Engineer with experience in Jenkins, cloud, Terraform, CI/CD, Linux based in Negombo Sri Lanka",DevOps Engineer
"junior Database Administrator with experience in backup, recovery, SQL, performance tuning, database design based in Kandy Sri Lanka",Database Administrator
"intern Cybersecurity Analyst with experience in SIEM, network security, incident response, threat analysis, penetration testing based in Sri Lanka Sri Lanka",Cybersecurity Analyst
"intern Software Engineer with experience in C#, software development, testing, APIs, debugging based in Sri Lanka Sri Lanka",Software Engineer
"mid-level Cybersecurity Analyst with experience in ethical hacking, network security, penetration testing, SIEM, threat analysis based in Galle Sri Lanka",Cybersecurity Analyst
"intern Software Engineer with experience in APIs, C#, software development, testing, SQL Server based in Galle Sri Lanka",Software Engineer
"junior Cybersecurity Analyst with experience in ethical hacking, penetration testing, network security, threat analysis, SIEM based in Negombo Sri Lanka",Cybersecurity Analyst
"junior Java Developer with experience in Java, OOP, REST API, microservices, Hibernate based in Negombo Sri Lanka",Java Developer
"mid-level Java Developer with experience in Hibernate, Spring Boot, REST API, Java, OOP based in Galle Sri Lanka",Java Developer
"senior Web Developer with experience in frontend, MySQL, Node.js, React, Laravel based in Colombo Sri Lanka",Web Developer
"junior Software Engineer with experience in SQL Server, debugging, testing, .NET, C# based in Sri Lanka Sri Lanka",Software Engineer
"senior Mobile Developer with experience in UI/UX, Android, React Native, Flutter, Java based in Negombo Sri Lanka",Mobile Developer
"mid-level Business Analyst with experience in Scrum, documentation, requirements gathering, stakeholder analysis, Agile based in Sri Lanka Sri Lanka",Business Analyst
"mid-level Data Scientist with experience in Python, statistics, SQL, machine learning, TensorFlow based in Colombo Sri Lanka",Data Scientist
"senior Java Developer with experience in REST API, Hibernate, Java, Maven, OOP based in Galle Sri Lanka",Java Developer
"junior Mobile Developer with experience in React Native, mobile apps, Android, Kotlin, Flutter based in Sri Lanka Sri Lanka",Mobile Developer
"junior Database Administrator with experience in SQL, performance tuning, database design, Oracle, backup based in Kandy Sri Lanka",Database Administrator
"senior DevOps Engineer with experience in Jenkins, AWS, Docker, Linux, cloud based in Negombo Sri Lanka",DevOps Engineer
"intern Java Developer with experience in Spring Boot, Java, SQL, microservices, REST API based in Sri Lanka Sri Lanka",Java Developer
"intern Software Engineer with experience in software development, testing, APIs, debugging, C# based in Sri Lanka Sri Lanka",Software Engineer
"mid-level Database Administrator with experience in backup, Oracle, recovery, MySQL, database design based in Kandy Sri Lanka",Database Administrator
"senior Database Administrator with experience in SQL, Oracle, performance tuning, MySQL, database design based in Sri Lanka Sri Lanka",Database Administrator
"senior Business Analyst with experience in UML, stakeholder analysis, Agile, requirements gathering, Scrum based in Galle Sri Lanka",Business Analyst
"junior Business Analyst with experience in Scrum, stakeholder analysis, documentation, requirements gathering, UML based in Sri Lanka Sri Lanka",Business Analyst
"senior Business Analyst with experience in Scrum, requirements gathering, documentation, Agile, UML based in Colombo Sri Lanka",Business Analyst
"intern Cybersecurity Analyst with experience in ethical hacking, incident response, penetration testing, network security, SIEM based in Colombo Sri Lanka",Cybersecurity Analyst
"senior Software Engineer with experience in testing, .NET, software development, SQL Server, C# based in Galle Sri Lanka",Software Engineer
"mid-level DevOps Engineer with experience in cloud, CI/CD, Terraform, Docker, Jenkins based in Colombo Sri Lanka",DevOps Engineer
"senior Software Engineer with experience in SQL Server, software development, debugging, .NET, APIs based in Colombo Sri Lanka",Software Engineer
"intern Mobile Developer with experience in Flutter, Java, UI/UX, React Native, Kotlin based in Galle Sri Lanka",Mobile Developer
"senior Business Analyst with experience in Agile, requirements gathering, documentation, Scrum, UML based in Galle Sri Lanka",Business Analyst
"mid-level Web Developer with experience in frontend, backend, React, CSS, Node.js based in Kandy Sri Lanka",Web Developer
"senior Mobile Developer with experience in Android, UI/UX, Java, Kotlin, React Native based in Colombo Sri Lanka",Mobile Developer
"junior DevOps Engineer with experience in Linux, AWS, CI/CD, cloud, Jenkins based in Kandy Sri Lanka",DevOps Engineer
"mid-level Software Engineer with experience in ASP.NET, software development, SQL Server, testing, APIs based in Galle Sri Lanka",Software Engineer
"junior Mobile Developer with experience in Kotlin, Java, Flutter, mobile apps, Android based in Negombo Sri Lanka",Mobile Developer
"senior Database Administrator with experience in backup, performance tuning, MySQL, Oracle, SQL based in Colombo Sri Lanka",Database Administrator
"junior DevOps Engineer with experience in CI/CD, cloud, Kubernetes, AWS, Jenkins based in Negombo Sri Lanka",DevOps Engineer
"senior Data Scientist with experience in data visualization, data analysis, SQL, pandas, Python based in Galle Sri Lanka",Data Scientist
"senior Cybersecurity Analyst with experience in threat analysis, incident response, network security, penetration testing, ethical hacking based in Galle Sri Lanka",Cybersecurity Analyst
"mid-level Java Developer with experience in SQL, Spring Boot, Maven, OOP, REST API based in Galle Sri Lanka",Java Developer
"junior Mobile Developer with experience in Kotlin, UI/UX, React Native, mobile apps, Flutter based in Kandy Sri Lanka",Mobile Developer
"senior DevOps Engineer with experience in Docker, AWS, Jenkins, Linux, automation based in Colombo Sri Lanka",DevOps Engineer
"junior Software Engineer with experience in testing, .NET, software development, debugging, ASP.NET based in Negombo Sri Lanka",Software Engineer
"senior Business Analyst with experience in requirements gathering, Scrum, Agile, documentation, UML based in Sri Lanka Sri Lanka",Business Analyst
"junior Mobile Developer with experience in Flutter, Android, Java, mobile apps, Kotlin based in Colombo Sri Lanka",Mobile Developer
"junior Web Developer with experience in MySQL, Laravel, HTML, PHP, frontend based in Kandy Sri Lanka",Web Developer
"intern Database Administrator with experience in backup, recovery, performance tuning, SQL, MySQL based in Galle Sri Lanka",Database Administrator
"mid-level Mobile Developer with experience in UI/UX, Java, Android, mobile apps, React Native based in Sri Lanka Sri Lanka",Mobile Developer
"intern Java Developer with experience in SQL, Maven, Java, REST API, microservices based in Sri Lanka Sri Lanka",Java Developer
"senior Software Engineer with experience in APIs, ASP.NET, C#, SQL Server, debugging based in Galle Sri Lanka",Software Engineer
"junior Data Scientist with experience in pandas, machine learning, data visualization, data analysis, TensorFlow based in Colombo Sri Lanka",Data Scientist
"senior DevOps Engineer with experience in automation, AWS, Jenkins, CI/CD, Linux based in Sri Lanka Sri Lanka",DevOps Engineer
"mid-level Web Developer with experience in JavaScript, CSS, Laravel, PHP, MySQL based in Kandy Sri Lanka",Web Developer
"senior Data Scientist with experience in Python, data analysis, pandas, SQL, data visualization based in Sri Lanka Sri Lanka",Data Scientist
"senior Software Engineer with experience in testing, C#, SQL Server, .NET, ASP.NET based in Colombo Sri Lanka",Software Engineer
"senior Database Administrator with experience in backup, database design, performance tuning, Oracle, MySQL based in Negombo Sri Lanka",Database Administrator
"mid-level Web Developer with experience in Node.js, CSS, Laravel, MySQL, frontend based in Sri Lanka Sri Lanka",Web Developer
"intern Web Developer with experience in Node.js, MySQL, backend, frontend, React based in Sri Lanka Sri Lanka",Web Developer
"junior Web Developer with experience in MySQL, CSS, Laravel, frontend, Node.js based in Negombo Sri Lanka",Web Developer
"mid-level Java Developer with experience in Maven, SQL, REST API, Hibernate, Java based in Sri Lanka Sri Lanka",Java Developer
"intern Java Developer with experience in SQL, OOP, Spring Boot, Hibernate, REST API based in Galle Sri Lanka",Java Developer
"junior Data Scientist with experience in TensorFlow, statistics, SQL, pandas, data analysis based in Kandy Sri Lanka",Data Scientist
"junior Mobile Developer with experience in mobile apps, Kotlin, Java, React Native, Flutter based in Negombo Sri Lanka",Mobile Developer
"senior Data Scientist with experience in pandas, machine learning, data analysis, statistics, TensorFlow based in Colombo Sri Lanka",Data Scientist
"junior Java Developer with experience in REST API, OOP, Maven, Java, microservices based in Colombo Sri Lanka",Java Developer
"intern Database Administrator with experience in database design, backup, Oracle, recovery, MySQL based in Galle Sri Lanka",Database Administrator
"senior Web Developer with experience in CSS, backend, React, frontend, JavaScript based in Negombo Sri Lanka",Web Developer
"junior Business Analyst with experience in UML, stakeholder analysis, requirements gathering, Agile, Scrum based in Galle Sri Lanka",Business Analyst
"junior Business Analyst with experience in Scrum, requirements gathering, stakeholder analysis, documentation, UML based in Galle Sri Lanka",Business Analyst
"senior Mobile Developer with experience in UI/UX, Flutter, Java, React Native, Android based in Colombo Sri Lanka",Mobile Developer
"mid-level Data Scientist with experience in pandas, machine learning, data visualization, data analysis, SQL based in Galle Sri Lanka",Data Scientist
"mid-level Cybersecurity Analyst with experience in incident response, ethical hacking, penetration testing, network security, threat analysis based in Kandy Sri Lanka",Cybersecurity Analyst
"senior Cybersecurity Analyst with experience in ethical hacking, threat analysis, incident response, network security, penetration testing based in Colombo Sri Lanka",Cybersecurity Analyst
"intern DevOps Engineer with experience in Docker, automation, Terraform, Jenkins, cloud based in Negombo Sri Lanka",DevOps Engineer
"mid-level Java Developer with experience in REST API, Hibernate, Java, OOP, SQL based in Galle Sri Lanka",Java Developer
"senior Software Engineer with experience in SQL Server, C#, .NET, debugging, testing based in Kandy Sri Lanka",Software Engineer
"mid-level Web Developer with experience in PHP, React, backend, frontend, HTML based in Colombo Sri Lanka",Web Developer
"senior Data Scientist with experience in SQL, statistics, data visualization, pandas, TensorFlow based in Kandy Sri Lanka",Data Scientist
"junior Java Developer with experience in microservices, SQL, Maven, OOP, Hibernate based in Negombo Sri Lanka",Java Developer
"junior DevOps Engineer with experience in Jenkins, automation, Linux, Kubernetes, CI/CD based in Negombo Sri Lanka",DevOps Engineer
"mid-level Cybersecurity Analyst with experience in threat analysis, incident response, ethical hacking, penetration testing, SIEM based in Galle Sri Lanka",Cybersecurity Analyst
"junior Mobile Developer with experience in Android, UI/UX, Kotlin, Java, React Native based in Colombo Sri Lanka",Mobile Developer
"senior DevOps Engineer with experience in automation, cloud, Kubernetes, Terraform, AWS based in Kandy Sri Lanka",DevOps Engineer
"junior Mobile Developer with experience in Android, Flutter, Kotlin, mobile apps, Java based in Negombo Sri Lanka",Mobile Developer
"junior Web Developer with experience in JavaScript, frontend, Node.js, MySQL, CSS based in Negombo Sri Lanka",Web Developer
"junior Web Developer with experience in HTML, backend, PHP, frontend, React based in Negombo Sri Lanka",Web Developer
"senior DevOps Engineer with experience in Kubernetes, cloud, Terraform, Docker, AWS based in Negombo Sri Lanka",DevOps Engineer
"junior Web Developer with experience in PHP, JavaScript, React, CSS, MySQL based in Sri Lanka Sri Lanka",Web Developer
"senior Web Developer with experience in Node.js, CSS, MySQL, PHP, HTML based in Galle Sri Lanka",Web Developer
"intern Web Developer with experience in PHP, React, CSS, MySQL, Node.js based in Kandy Sri Lanka",Web Developer
"junior DevOps Engineer with experience in Terraform, cloud, Linux, AWS, Kubernetes based in Negombo Sri Lanka",DevOps Engineer
"senior Database Administrator with experience in MySQL, SQL, database design, backup, Oracle based in Negombo Sri Lanka",Database Administrator
